,count,mean,std,min,25%,50%,75%,max
runner_id,9109.0,244851.1573169393,78253.82039216303,191003.0,221005.0,231001.0,231010.0,542012.0
session_id,9109.0,1.419365462729169,0.8486745932679377,1.0,1.0,1.0,1.0,4.0
start_s,9109.0,39.94100421112866,24.710104265242432,0.0,17.509310007095337,40.00089502334595,60.00954723358154,85.00996589660645
end_s,9109.0,44.93096524109915,24.709762478351564,4.956415891647339,22.496684074401855,44.99189901351929,64.99976992607117,89.99886512756348
duration,9109.0,4.989961029970498,0.005041849366082024,4.8765692710876465,4.985826015472412,4.99178409576416,4.992906093597412,4.999786138534546
n_samples,9109.0,502.2364694258426,2.0831592774915544,466.0,501.0,503.0,504.0,523.0
reported_rpe,9109.0,4.630146009441212,1.7334594405898982,1.0,3.0,5.0,6.0,8.0
estimated_rpe,0.0,,,,,,,
AccX_centered_mean,9109.0,0.00035776987759979874,0.04928459156723578,-0.393787300194002,-0.024889912323405348,-0.0009430694435726384,0.0233593449118651,0.43844744854710177
AccX_centered_std,9109.0,0.8399921432668522,0.19542458509037994,0.005706965859244259,0.7482057477339987,0.8530450029442245,0.9697699607579231,1.6697804049069813
AccX_centered_mad,9109.0,0.6750294913960111,0.1878827499900647,0.003676928579807247,0.5698344409465789,0.6971354335546494,0.7997641861438751,1.3027543127536776
AccX_centered_min,9109.0,-1.7058213947884624,0.5489830193823168,-8.725279207255795,-2.001994956442466,-1.6388175534266303,-1.3822328353631828,-0.0214302902810112
AccX_centered_p25,9109.0,-0.7893079622010569,0.2034845581223967,-1.4159777983178694,-0.9165431543664179,-0.8151923072599909,-0.7088734698353543,0.24345482533632046
AccX_centered_median,9109.0,0.15339752646919225,0.2179031697907233,-0.5044116457933259,-0.009709381019075702,0.17163137339014145,0.31820464210634913,0.8874075689073652
AccX_centered_p75,9109.0,0.7319884159623281,0.18719678865782105,-0.29272232677849486,0.6520982772597474,0.7551691048312414,0.8466151288582219,1.4648490640423781
AccX_centered_max,9109.0,1.7919446042633387,0.7807491462632091,-0.0684322582166643,1.3036471459008754,1.6077254087953932,2.1530966255737267,17.586154584858463
AccX_centered_iqr,9109.0,1.521296378163385,0.36508808971043666,0.007280506193637799,1.391417309641838,1.5819178819656372,1.741619735956192,2.617675602436066
AccX_centered_rms,9109.0,0.8410706604394051,0.19319586196571506,0.007551329390371399,0.7483151915609317,0.8533595283043511,0.9697110200572032,1.6704696860423516
AccX_centered_skew,9109.0,-0.07121868084321084,0.2833443958553024,-6.779460955831408,-0.2031331234874439,-0.09589758925668111,0.024938141288055212,5.194954422810027
AccX_centered_kurt,9109.0,-1.0583557080407466,3.0901033000225766,-1.8020337855510093,-1.5401038601726298,-1.3587586198670463,-1.0402958278575762,149.76492038568443
AccX_centered_nan_frac,9109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AccY_centered_mean,9109.0,0.0008671144541215431,0.04520482888229564,-0.40933807658468907,-0.01943612974603536,0.0017893032761963931,0.02410304105175128,0.25616191835897334
AccY_centered_std,9109.0,0.3861115080913508,0.13821475695784166,0.0066056617838991544,0.2925289475819754,0.3525042972871395,0.4477871956344259,1.624568071586099
